kernel,rasio,akurasi,presisi,recall,f1_score
linear,70:30,0.8458,0.8028,0.777,0.7883
rbf,70:30,0.8396,0.8075,0.7431,0.7659
poly,70:30,0.7581,0.7225,0.54,0.5128
sigmoid,70:30,0.8433,0.8002,0.7713,0.7837
linear,75:25,0.847,0.7998,0.7776,0.7875
rbf,75:25,0.841,0.8021,0.7455,0.7665
poly,75:25,0.7687,0.7367,0.5516,0.5349
sigmoid,75:25,0.85,0.8037,0.7826,0.7921
linear,80:20,0.8507,0.8076,0.7741,0.7884
rbf,80:20,0.8396,0.7994,0.7414,0.7627
poly,80:20,0.7724,0.7447,0.5574,0.5448
sigmoid,80:20,0.847,0.8026,0.7679,0.7825
linear,85:15,0.8582,0.8157,0.78,0.7952
rbf,85:15,0.8545,0.8185,0.76,0.7823
poly,85:15,0.7761,0.7324,0.5572,0.5467
sigmoid,85:15,0.857,0.8125,0.7809,0.7946
linear,90:10,0.8507,0.8228,0.7781,0.7958
rbf,90:10,0.8451,0.8217,0.7609,0.7829
poly,90:10,0.7425,0.6688,0.5442,0.5222
sigmoid,90:10,0.8489,0.8208,0.7746,0.7927
